A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: ViT (scratch) (seed=2)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=1.0)) | Heads: 263,941 params
global_step=49104, episodic_return=3.0, episodic_length=1080
global_step=49272, episodic_return=0.0, episodic_length=569
global_step=49808, episodic_return=3.0, episodic_length=1002
global_step=50000, episodic_return=0.0, episodic_length=524
global_step=50176, episodic_return=0.0, episodic_length=549
global_step=50320, episodic_return=3.0, episodic_length=1053
global_step=50512, episodic_return=3.0, episodic_length=1045
global_step=50640, episodic_return=2.0, episodic_length=828
global_step=50920, episodic_return=2.0, episodic_length=829
global_step=51048, episodic_return=3.0, episodic_length=1000
global_step=51136, episodic_return=1.0, episodic_length=672
update 50/9765 | step 51200/10000000 | SPS 490 | pg_loss -0.0064 | v_loss 0.0206 | entropy 1.3229
global_step=51208, episodic_return=0.0, episodic_length=512
global_step=51392, episodic_return=0.0, episodic_length=547
global_step=51528, episodic_return=0.0, episodic_length=516
global_step=51632, episodic_return=2.0, episodic_length=818
global_step=51760, episodic_return=0.0, episodic_length=572
global_step=52088, episodic_return=0.0, episodic_length=536
global_step=52576, episodic_return=0.0, episodic_length=544
global_step=52808, episodic_return=2.0, episodic_length=841
global_step=52920, episodic_return=3.0, episodic_length=1008
global_step=53136, episodic_return=0.0, episodic_length=548
global_step=53304, episodic_return=2.0, episodic_length=836
global_step=53344, episodic_return=2.0, episodic_length=805
global_step=53368, episodic_return=3.0, episodic_length=1081
global_step=53400, episodic_return=3.0, episodic_length=1017
global_step=53880, episodic_return=0.0, episodic_length=547
global_step=53992, episodic_return=0.0, episodic_length=533
global_step=54200, episodic_return=0.0, episodic_length=547
global_step=54224, episodic_return=2.0, episodic_length=845
global_step=54320, episodic_return=0.0, episodic_length=507
global_step=54392, episodic_return=0.0, episodic_length=541
global_step=54416, episodic_return=0.0, episodic_length=512
global_step=54880, episodic_return=0.0, episodic_length=525
global_step=54968, episodic_return=2.0, episodic_length=796
global_step=55400, episodic_return=0.0, episodic_length=544
global_step=55840, episodic_return=2.0, episodic_length=831
global_step=55912, episodic_return=2.0, episodic_length=972
global_step=56040, episodic_return=2.0, episodic_length=925
global_step=56096, episodic_return=2.0, episodic_length=855
global_step=56312, episodic_return=3.0, episodic_length=961
global_step=56624, episodic_return=2.0, episodic_length=833
global_step=56712, episodic_return=1.0, episodic_length=652
global_step=56904, episodic_return=0.0, episodic_length=553
global_step=57080, episodic_return=3.0, episodic_length=1124
global_step=57136, episodic_return=0.0, episodic_length=549
global_step=57328, episodic_return=0.0, episodic_length=512
global_step=57464, episodic_return=1.0, episodic_length=797
global_step=57720, episodic_return=2.0, episodic_length=832
global_step=57768, episodic_return=0.0, episodic_length=524
