A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: JEPA (fine-tune) (seed=3)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=0.1)) | Heads: 263,941 params
global_step=82080, episodic_return=0.0, episodic_length=513
global_step=82464, episodic_return=2.0, episodic_length=812
global_step=82472, episodic_return=2.0, episodic_length=836
global_step=82760, episodic_return=0.0, episodic_length=520
global_step=82944, episodic_return=3.0, episodic_length=1024
global_step=83128, episodic_return=0.0, episodic_length=531
global_step=83304, episodic_return=2.0, episodic_length=836
global_step=83784, episodic_return=3.0, episodic_length=1007
global_step=84096, episodic_return=2.0, episodic_length=824
global_step=84128, episodic_return=0.0, episodic_length=520
global_step=84360, episodic_return=2.0, episodic_length=812
global_step=84496, episodic_return=5.0, episodic_length=1414
global_step=84752, episodic_return=4.0, episodic_length=1157
global_step=84800, episodic_return=0.0, episodic_length=529
global_step=84896, episodic_return=2.0, episodic_length=802
global_step=84928, episodic_return=3.0, episodic_length=991
global_step=85680, episodic_return=2.0, episodic_length=809
global_step=85720, episodic_return=2.0, episodic_length=812
global_step=86432, episodic_return=2.0, episodic_length=819
global_step=86488, episodic_return=2.0, episodic_length=813
global_step=86536, episodic_return=2.0, episodic_length=803
global_step=86744, episodic_return=4.0, episodic_length=1189
global_step=86864, episodic_return=4.0, episodic_length=1196
global_step=87136, episodic_return=4.0, episodic_length=1209
global_step=87288, episodic_return=2.0, episodic_length=799
global_step=87360, episodic_return=2.0, episodic_length=830
global_step=88024, episodic_return=2.0, episodic_length=805
global_step=88480, episodic_return=3.0, episodic_length=1013
global_step=88512, episodic_return=3.0, episodic_length=1013
global_step=88520, episodic_return=2.0, episodic_length=840
global_step=88880, episodic_return=2.0, episodic_length=802
global_step=88920, episodic_return=3.0, episodic_length=1096
global_step=89176, episodic_return=3.0, episodic_length=1025
global_step=89384, episodic_return=3.0, episodic_length=1020
global_step=89880, episodic_return=0.0, episodic_length=504
global_step=90416, episodic_return=4.0, episodic_length=1220
global_step=90512, episodic_return=3.0, episodic_length=1001
global_step=90544, episodic_return=2.0, episodic_length=833
global_step=90800, episodic_return=2.0, episodic_length=819
global_step=90912, episodic_return=4.0, episodic_length=1211
global_step=91136, episodic_return=5.0, episodic_length=1328
global_step=91376, episodic_return=3.0, episodic_length=1016
global_step=91496, episodic_return=2.0, episodic_length=829
global_step=91552, episodic_return=0.0, episodic_length=516
global_step=91912, episodic_return=0.0, episodic_length=509
global_step=92048, episodic_return=2.0, episodic_length=813
update 90/9765 | step 92160/10000000 | SPS 491 | pg_loss -0.0111 | v_loss 0.0185 | entropy 0.9515
global_step=92504, episodic_return=3.0, episodic_length=1001
global_step=92648, episodic_return=3.0, episodic_length=944
global_step=92752, episodic_return=2.0, episodic_length=806
global_step=92976, episodic_return=2.0, episodic_length=811
global_step=93088, episodic_return=0.0, episodic_length=520
global_step=93504, episodic_return=2.0, episodic_length=810
global_step=93512, episodic_return=3.0, episodic_length=1023
global_step=93544, episodic_return=3.0, episodic_length=992
global_step=94296, episodic_return=2.0, episodic_length=820
global_step=94488, episodic_return=3.0, episodic_length=1013
global_step=94568, episodic_return=2.0, episodic_length=817
global_step=94688, episodic_return=2.0, episodic_length=799
global_step=94736, episodic_return=3.0, episodic_length=990
global_step=95088, episodic_return=2.0, episodic_length=815
global_step=95096, episodic_return=2.0, episodic_length=815
global_step=95208, episodic_return=2.0, episodic_length=839
global_step=95896, episodic_return=2.0, episodic_length=804
global_step=96320, episodic_return=2.0, episodic_length=787
global_step=96480, episodic_return=3.0, episodic_length=1009
global_step=96680, episodic_return=2.0, episodic_length=821
global_step=96832, episodic_return=2.0, episodic_length=826
global_step=96944, episodic_return=4.0, episodic_length=1184
global_step=97096, episodic_return=4.0, episodic_length=1208
global_step=97552, episodic_return=2.0, episodic_length=828
global_step=97648, episodic_return=4.0, episodic_length=1284
global_step=98320, episodic_return=2.0, episodic_length=817
global_step=98336, episodic_return=3.0, episodic_length=1019
global_step=98544, episodic_return=2.0, episodic_length=812
global_step=98680, episodic_return=3.0, episodic_length=935
global_step=98888, episodic_return=4.0, episodic_length=1199
global_step=99120, episodic_return=3.0, episodic_length=1017
global_step=99136, episodic_return=2.0, episodic_length=797
global_step=99744, episodic_return=3.0, episodic_length=1060
global_step=99904, episodic_return=2.0, episodic_length=799
global_step=99920, episodic_return=2.0, episodic_length=812
global_step=100160, episodic_return=2.0, episodic_length=821
global_step=100280, episodic_return=2.0, episodic_length=801
global_step=100704, episodic_return=2.0, episodic_length=799
