A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: AE (fine-tune) (seed=3)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=0.1)) | Heads: 263,941 params
global_step=79160, episodic_return=2.0, episodic_length=830
global_step=79480, episodic_return=1.0, episodic_length=603
global_step=79584, episodic_return=0.0, episodic_length=491
global_step=79752, episodic_return=3.0, episodic_length=871
global_step=79760, episodic_return=0.0, episodic_length=500
global_step=79888, episodic_return=2.0, episodic_length=742
global_step=80136, episodic_return=0.0, episodic_length=502
global_step=80336, episodic_return=2.0, episodic_length=735
global_step=80448, episodic_return=1.0, episodic_length=656
global_step=80968, episodic_return=1.0, episodic_length=628
global_step=80976, episodic_return=2.0, episodic_length=747
global_step=81072, episodic_return=2.0, episodic_length=743
global_step=81224, episodic_return=2.0, episodic_length=748
global_step=81376, episodic_return=1.0, episodic_length=623
global_step=81392, episodic_return=0.0, episodic_length=547
global_step=81448, episodic_return=0.0, episodic_length=511
global_step=81656, episodic_return=3.0, episodic_length=891
update 80/9765 | step 81920/10000000 | SPS 494 | pg_loss -0.0054 | v_loss 0.0215 | entropy 1.0977
global_step=82016, episodic_return=0.0, episodic_length=534
global_step=82248, episodic_return=1.0, episodic_length=639
global_step=82408, episodic_return=0.0, episodic_length=504
global_step=82560, episodic_return=2.0, episodic_length=743
global_step=82664, episodic_return=0.0, episodic_length=524
global_step=82848, episodic_return=2.0, episodic_length=743
global_step=82920, episodic_return=2.0, episodic_length=736
global_step=83568, episodic_return=5.0, episodic_length=1191
global_step=83592, episodic_return=0.0, episodic_length=511
global_step=83704, episodic_return=2.0, episodic_length=732
global_step=83712, episodic_return=0.0, episodic_length=534
global_step=83872, episodic_return=2.0, episodic_length=736
global_step=84064, episodic_return=7.0, episodic_length=1035
global_step=84176, episodic_return=1.0, episodic_length=639
global_step=84608, episodic_return=3.0, episodic_length=891
global_step=84824, episodic_return=1.0, episodic_length=626
global_step=84960, episodic_return=1.0, episodic_length=643
global_step=85152, episodic_return=1.0, episodic_length=640
global_step=85312, episodic_return=1.0, episodic_length=636
global_step=85552, episodic_return=7.0, episodic_length=991
global_step=85656, episodic_return=2.0, episodic_length=756
global_step=85752, episodic_return=7.0, episodic_length=1044
global_step=86056, episodic_return=1.0, episodic_length=635
global_step=86328, episodic_return=3.0, episodic_length=880
global_step=86336, episodic_return=0.0, episodic_length=535
global_step=86472, episodic_return=2.0, episodic_length=767
global_step=86752, episodic_return=0.0, episodic_length=495
global_step=86896, episodic_return=1.0, episodic_length=641
global_step=87336, episodic_return=1.0, episodic_length=647
global_step=87576, episodic_return=7.0, episodic_length=1031
global_step=87584, episodic_return=0.0, episodic_length=579
global_step=87600, episodic_return=1.0, episodic_length=655
global_step=87760, episodic_return=9.0, episodic_length=1311
global_step=87832, episodic_return=2.0, episodic_length=756
global_step=88152, episodic_return=1.0, episodic_length=640
global_step=88248, episodic_return=2.0, episodic_length=763
global_step=88568, episodic_return=0.0, episodic_length=500
global_step=88592, episodic_return=1.0, episodic_length=631
global_step=88960, episodic_return=0.0, episodic_length=566
global_step=89024, episodic_return=1.0, episodic_length=632
global_step=89144, episodic_return=2.0, episodic_length=771
global_step=89336, episodic_return=3.0, episodic_length=875
global_step=89616, episodic_return=0.0, episodic_length=524
global_step=89824, episodic_return=1.0, episodic_length=636
global_step=89872, episodic_return=3.0, episodic_length=859
global_step=89952, episodic_return=3.0, episodic_length=867
global_step=89976, episodic_return=0.0, episodic_length=531
global_step=90080, episodic_return=0.0, episodic_length=543
global_step=90408, episodic_return=1.0, episodic_length=639
global_step=90832, episodic_return=1.0, episodic_length=624
global_step=90936, episodic_return=0.0, episodic_length=530
global_step=90992, episodic_return=0.0, episodic_length=538
global_step=91064, episodic_return=3.0, episodic_length=883
global_step=91216, episodic_return=1.0, episodic_length=634
global_step=91328, episodic_return=2.0, episodic_length=776
global_step=91424, episodic_return=1.0, episodic_length=695
